id,year,type,domain,annotation,MCA_1,MCA_2
Fair Housing Amendments Act,1988,Law,Disability,Expansion,-1.3982165638534103,0.20512718555698414
Title X Family Planning Program,1970,Law,Repro,Expansion,-0.08986811891878684,0.6080236921382157
EO 13988: Gender Identity/Orientation Discrimination,2021,ExecOrder,LGBTQ+,Expansion,1.0393740108714837,-0.8742545545426715
For the People Act,2019,Law,Voting,Proposed,-0.35922718351491106,-0.9991315895358976
Freedom to Vote Act,2021,Law,Voting,Proposed,-0.0038385398271866124,-0.8027231809067498
California v. Texas,2021,Court,LGBTQ+,Expansion,1.1874434655469945,-0.008906641615636953
EO 14075: Advancing LGBTQI+ Equality,2022,ExecOrder,LGBTQ+,Expansion,1.110639536123432,-0.40450828216634815
Death in Custody Reporting Act,2014,Law,Justice,Expansion,-0.39395221388807145,0.09251568793428167
Juvenile Justice and Delinquency Prevention Act,1974,Law,Justice,Landmark,-0.4858421939816731,0.6638594333046695
EO 14079: Securing Access to Reproductive and Other Healthcare Services,2022,ExecOrder,Repro,Expansion,1.043682092596703,0.17940279609977444
Workforce Innovation and Opportunity Act,2014,Law,Disability,Expansion,-0.8055847531364813,0.1739993311951405
Montreal Protocol Implementation Act,1988,Law,Environment,Expansion,-0.9485721733767397,-0.4950646400153424
EO 13834: Efficient Federal Operations,2018,ExecOrder,Environment,Reversal,0.4013672176222476,-0.88519365226039
EO 14019: Promoting Access to Voting,2021,ExecOrder,Voting,Expansion,0.6001986619132004,-1.1988952662579395
GLAD v. United States,2010,Court,LGBTQ+,Expansion,1.0482051364544043,0.6383388153513044
EO 13672: Prohibiting Discrimination,2014,ExecOrder,LGBTQ+,Expansion,0.7712685165444546,-0.5433862001674777
Police Accountability Act,2020,Law,Justice,Proposed,-0.14147910796244734,0.7835076301063569
George Floyd Justice in Policing Act,2021,Law,Justice,Proposed,-0.12584671956104226,-0.2383526664409121
Title IX Final Rule,2020,Law,Repro,Reversal,0.3527469772029626,1.12768890562191
Biden HHS Guidance on Emergency Abortions,2022,ExecOrder,Repro,Expansion,1.043682092596703,0.17940279609977444
Section 508 Amendment (Tech Accessibility),1998,Law,Disability,Expansion,-1.0219934822444603,0.26074669113899485
ADA Integration Mandate Enforcement,2012,Court,Disability,Expansion,-0.17758134543866297,1.5554746715945256
EO 14096: Revitalizing Environmental Justice,2023,ExecOrder,Environment,Expansion,0.3931531314821197,-1.6931253502001693
Federal Election Campaign Act,1971,Law,Voting,Landmark,-0.5894862009794247,-0.7587230413310144
Bipartisan Campaign Reform Act (McCain–Feingold),2002,Law,Voting,Expansion,-0.5899450249464628,-0.7586504872794297
Executive Order 13985: Equity Across Federal Government,2021,ExecOrder,LGBTQ+,Expansion,1.0393740108714837,-0.8742545545426715
EO 14092: Clemency and Second Chances,2022,ExecOrder,Justice,Expansion,0.549456007431293,-0.16477847941577853
Violent Crime Control and Law Enforcement Act,1994,Law,Justice,Reversal,-0.6747331417904178,0.5342754167794609
EO 13809: Rescinding DOJ Consent Decrees,2017,ExecOrder,Justice,Reversal,0.37469696991245816,-0.714128742192279
EO 14087: Data Protections for Reproductive Health,2022,ExecOrder,Repro,Expansion,1.043682092596703,0.17940279609977444
Every Student Succeeds Act (with IDEA references),2015,Law,Disability,Expansion,-0.7463088277345435,0.03161914475920309
21st Century Cures Act,2016,Law,Disability,Expansion,-0.8610191187324239,0.972466155861196
Clean Power Plan,2015,ExecOrder,Environment,Expansion,0.30737276448251405,-1.0647447661643132
Affordable Clean Energy Rule,2019,ExecOrder,Environment,Reversal,0.16081368971988116,-1.4496413427327175
EO 13693: Planning for Sustainability,2015,ExecOrder,Environment,Expansion,0.30737276448251405,-1.0647447661643132
EO 14021: Preventing and Combating Discrimination,2021,ExecOrder,LGBTQ+,Expansion,1.0393740108714837,-0.8742545545426715
